"","Postcode","ABSTUDY..Living.allowance.","ABSTUDY..Non.living.allowance.","Age.Pension","Austudy","Carer.Allowance","Carer.Allowance..Child.Health.Care.Card.only.","Carer.Payment","Double.Orphan.Pension","Disability.Support.Pension","Family.Tax.Benefit.A","Family.Tax.Benefit.B","Health.Care.Card","Low.Income.Card","Newstart.Allowance","Parenting.Payment.Partnered","Parenting.Payment.Single","Partner.Allowance","Pensioner.Concession.Card","Commonwealth.Seniors.Health.Card","Sickness.Allowance","Special.Benefit","Widow.Allowance","Widow.B.Pension","Wife.Pension..Partner.on.Age.Pension.","Wife.Pension..Partner.on.Disability.Support.Pension.","Youth.Allowance..other.","Youth.Allowance..student.and.apprentice."
"24","838","0","<5","49","0","19","0","10","0","36","51","41","43","5","37","<5","12","0","120","<5","0","0","0","0","0","0","<5","<5"
"25","839","0","<5","19","<5","7","0","<5","0","11","38","33","27","<5","18","<5","11","0","46","<5","0","0","0","0","0","0","<5","<5"
"26","840","0","0","94","0","24","0","17","0","35","14","12","29","6","38","<5","<5","0","167","0","0","0","<5","0","0","<5","0","0"
"27","841","0","<5","64","<5","11","0","<5","0","30","48","40","46","6","33","<5","14","0","120","<5","<5","0","0","0","0","0","<5","<5"
"28","845","5","17","60","<5","12","<5","8","0","46","65","57","86","7","67","<5","27","0","157","8","0","0","<5","0","0","0","14","0"
"29","846","<5","<5","54","0","11","0","6","0","23","29","28","37","<5","19","<5","13","0","102","<5","<5","0","0","0","0","0","8","0"
"30","847","0","11","25","0","<5","0","<5","0","22","34","30","60","<5","44","9","6","0","64","<5","0","0","0","0","0","0","9","0"
"31","850","10","56","416","0","130","5","67","0","498","683","602","773","33","496","79","167","<5","1,242","21","<5","<5","<5","0","<5","0","85","9"
"32","851","<5","<5","11","0","<5","0","<5","0","12","18","10","12","<5","<5","<5","0","0","25","5","0","0","0","0","0","0","0","<5"
"33","852","15","323","223","0","103","5","72","0","461","1,125","975","1,842","11","1,173","335","218","0","1,162","<5","<5","0","<5","0","<5","0","196","<5"
"34","853","0","0","<5","0","8","0","<5","0","<5","51","46","10","<5","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0"
"35","854","5","33","72","0","19","0","7","0","56","168","144","291","<5","206","41","33","0","205","<5","0","0","<5","0","0","0","35","0"
"36","860","12","32","142","0","60","<5","36","<5","237","332","304","494","<5","347","74","88","0","567","<5","<5","0","<5","0","<5","0","39","<5"
"37","861","0","0","<5","0","<5","0","<5","0","<5","11","8","12","0","9","<5","<5","0","10","<5","0","0","0","0","0","0","0","0"
"38","862","<5","43","33","0","15","<5","13","0","50","154","130","242","<5","174","42","42","0","161","0","0","0","<5","0","<5","0","21","0"
"39","870","46","107","1,008","11","297","7","153","0","1,056","1,648","1,434","1,637","105","1,068","130","428","0","2,865","86","9","<5","6","0","<5","<5","143","38"
"40","871","0","<5","33","<5","11","<5","7","0","16","36","30","24","<5","17","0","7","0","69","<5","0","0","0","0","0","0","<5","<5"
"41","872","65","387","541","<5","240","5","189","<5","1,097","2,355","2,100","4,354","35","3,119","685","482","0","2,810","<5","<5","0","13","0","0","<5","481","<5"
"42","873","<5","6","14","0","8","0","8","0","32","65","55","126","<5","104","15","12","0","82","<5","<5","0","0","0","0","0","16","<5"
"43","874","0","0","<5","0","0","0","0","0","0","6","5","<5","0","<5","<5","<5","0","<5","<5","0","0","0","0","0","0","0","0"
"44","875","<5","8","12","0","12","0","<5","<5","32","92","80","79","<5","40","12","31","0","85","5","0","<5","0","0","0","0","8","<5"
"45","880","24","74","107","<5","79","<5","56","0","242","614","517","898","10","664","132","100","0","613","0","<5","0","<5","0","0","0","62","<5"
"46","881","<5","0","6","<5","0","<5","0","0","<5","13","13","12","<5","6","0","<5","0","13","0","0","0","0","0","0","0","0","0"
"47","885","0","<5","0","0","<5","0","<5","0","<5","13","12","13","0","7","<5","<5","0","8","0","0","0","0","0","0","0","<5","0"
"48","886","<5","23","15","0","17","<5","8","0","33","94","77","133","<5","82","18","12","0","74","0","0","0","0","0","0","0","15","0"
"49","909","0","0","0","0","0","0","0","0","0","0","0","<5","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","<5"
"50","1022","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"51","1025","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","1026","0","0","0","0","0","0","0","0","<5","<5","<5","<5","<5","<5","0","0","0","<5","<5","0","0","0","0","0","0","0","<5"
"53","1027","0","0","0","<5","0","0","0","0","0","<5","<5","<5","<5","0","0","0","0","0","<5","0","0","0","0","0","0","0","<5"
"54","1028","0","0","0","0","0","0","0","0","0","<5","<5","<5","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0"
"55","1029","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"56","1045","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","<5","<5"
"57","1120","0","0","<5","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","<5","0","0","0","0","0","0","0","0","<5"
"58","1121","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","1123","0","0","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","<5"
"60","1124","0","0","0","0","0","0","0","0","0","<5","<5","<5","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0"
"61","1129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5"
"62","1135","0","0","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","<5"
"63","1155","0","0","0","0","0","0","0","0","0","<5","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","1161","0","0","0","0","<5","0","<5","0","0","<5","<5","<5","0","<5","0","<5","0","<5","0","0","0","0","0","0","0","0","0"
"65","1170","0","0","0","0","0","0","0","0","0","<5","<5","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","<5"
"66","1173","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","1176","0","0","0","0","<5","0","<5","0","0","<5","<5","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"68","1177","0","0","0","0","0","0","0","0","0","<5","<5","<5","<5","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0"
"69","1190","0","0","0","0","0","0","0","0","0","<5","0","<5","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0"
"70","1205","0","0","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","<5","0","0","0","0","0","0","0","<5"
"71","1231","0","0","0","0","0","0","0","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","1300","0","0","<5","0","0","0","0","0","<5","0","0","<5","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"73","1335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0"
"74","1340","0","0","5","0","0","0","0","0","12","<5","<5","5","<5","5","0","<5","0","19","0","0","0","0","0","0","0","<5","0"
"75","1355","0","0","0","0","0","0","0","0","<5","0","0","<5","<5","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"76","1360","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"77","1435","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"78","1445","0","0","0","0","0","0","0","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","1450","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","1460","0","0","<5","0","0","0","0","0","0","<5","<5","<5","<5","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"81","1465","0","0","<5","0","0","0","0","0","0","0","0","<5","<5","<5","0","0","0","<5","<5","0","0","0","0","0","0","<5","<5"
"82","1466","<5","0","0","0","0","0","0","0","0","<5","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"83","1470","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0"
"84","1475","0","0","0","0","0","0","0","0","<5","0","0","<5","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"85","1480","0","0","0","0","<5","0","<5","0","<5","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"86","1485","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"87","1490","0","0","<5","0","<5","0","<5","0","0","<5","<5","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0"
"88","1495","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","1499","0","0","<5","0","0","0","0","0","<5","<5","<5","<5","<5","0","0","0","0","<5","0","0","0","0","0","0","0","0","<5"
"90","1565","0","0","<5","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"91","1585","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"92","1590","0","0","0","0","0","0","0","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","1595","0","0","<5","0","0","0","0","0","0","<5","<5","<5","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0"
"94","1630","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0"
"95","1640","0","0","0","0","<5","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","1655","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0"
"97","1670","0","0","0","0","0","0","0","0","<5","0","0","<5","<5","0","0","0","0","<5","0","0","0","0","0","0","0","0","<5"
"98","1680","0","0","0","0","0","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0"
"99","1685","0","0","0","0","0","0","0","0","<5","0","0","<5","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"100","1700","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"101","1701","0","0","0","0","0","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","1710","0","0","0","0","0","0","0","0","<5","0","0","0","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"103","1715","0","0","<5","0","<5","0","0","0","0","0","0","<5","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"104","1730","0","0","<5","0","0","0","0","0","<5","0","0","<5","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"105","1750","0","0","0","0","0","0","0","0","<5","<5","<5","<5","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0"
"106","1755","0","0","<5","0","0","0","0","0","0","<5","<5","0","0","0","0","<5","0","<5","<5","0","0","0","0","0","0","0","0"
"107","1765","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","<5","0","0","0","0","0","0","0","0"
"108","1790","0","0","10","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","12","0","0","0","0","0","0","0","0","0"
"109","1800","0","0","<5","0","0","0","0","0","<5","0","0","<5","<5","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"110","1805","0","0","<5","0","0","0","0","0","0","0","0","<5","<5","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"111","1811","0","0","<5","0","0","0","0","0","5","0","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","1825","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","<5","0","0","0","<5","0","0","0","0","0"
"113","1835","0","0","<5","0","<5","0","<5","0","<5","<5","<5","0","0","<5","0","0","0","6","0","0","0","0","0","0","0","0","0"
"114","1860","0","0","<5","0","0","0","0","0","<5","0","0","0","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"115","1871","0","0","<5","0","0","0","0","0","<5","<5","<5","<5","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"116","1875","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"117","1885","0","0","0","0","0","0","0","0","<5","0","0","<5","<5","<5","0","0","0","<5","<5","0","0","0","0","0","0","0","<5"
"118","1890","0","0","0","0","0","0","0","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0"
"120","2001","0","0","<5","0","0","0","0","0","6","<5","<5","9","6","<5","0","<5","0","11","0","0","0","0","0","0","0","0","<5"
"121","2004","0","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"122","2006","0","0","0","0","0","0","0","0","0","0","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","<5","21"
"128","2012","0","0","0","0","0","0","0","0","<5","0","0","<5","0","<5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165","2052","7","<5","0","0","0","0","0","0","<5","0","0","31","31","<5","0","0","0","<5","0","0","0","0","0","0","0","<5","33"
"166","2055","0","0","<5","<5","0","0","0","0","<5","0","0","<5","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"167","2057","0","0","6","0","<5","0","<5","0","<5","<5","<5","6","<5","<5","<5","<5","0","11","<5","0","0","<5","0","0","0","0","<5"
"168","2059","0","<5","6","0","0","0","0","0","<5","<5","<5","<5","<5","<5","0","<5","0","8","0","0","0","0","0","0","0","0","0"
"215","2109","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","2123","0","0","6","0","0","0","0","0","<5","<5","<5","6","<5","<5","0","0","0","10","0","0","0","0","0","0","0","0","<5"
"230","2124","0","0","7","0","0","0","0","0","10","<5","<5","12","<5","9","0","<5","0","23","0","0","0","0","0","0","0","<5","<5"
"244","2139","0","0","0","0","0","0","0","0","7","0","0","<5","<5","0","0","0","0","7","0","0","0","0","0","0","0","0","0"
"327","2252","0","0","0","0","0","0","0","0","0","0","0","<5","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"360","2301","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"367","2308","10","6","0","5","0","0","0","0","7","<5","0","202","198","<5","0","0","0","7","0","0","0","0","0","0","0","11","260"
"368","2309","0","0","0","0","0","<5","0","0","<5","<5","<5","<5","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"369","2310","0","0","0","0","0","0","0","0","0","0","0","0","0","<5","0","0","0","<5","0","0","0","0","0","0","0","0","0"
"370","2311","0","0","97","<5","27","<5","14","0","40","58","47","42","14","25","<5","16","0","182","28","0","0","0","0","<5","<5","<5","<5"
"371","2312","0","5","240","<5","72","<5","41","0","84","150","112","117","16","83","11","27","0","456","28","<5","0","<5","0","<5","<5","14","8"
"385","2328","0","0","278","0","53","<5","21","0","60","166","141","115","8","82","7","44","<5","443","41","<5","0","<5","0","0","0","7","5"
"386","2329","<5","0","312","<5","45","<5","22","<5","82","171","126","122","21","71","9","37","0","492","37","<5","0","<5","0","<5","<5","17","7"
"388","2331","0","0","0","0","0","0","0","0","0","0","0","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"389","2333","5","34","1,226","6","381","17","188","0","707","1,135","1,013","1,015","87","754","72","386","<5","2,876","106","9","0","12","0","<5","5","173","26"
"392","2336","0","<5","284","0","57","0","20","0","72","157","129","115","13","82","7","37","0","453","26","0","<5","<5","0","<5","<5","9","6"
"393","2337","<5","5","914","<5","136","<5","55","0","206","382","304","317","67","195","21","80","<5","1,363","126","<5","0","<5","0","<5","<5","26","26"
"394","2338","0","<5","249","<5","48","0","28","0","59","95","79","79","13","57","6","15","0","385","33","<5","0","<5","0","<5","0","<5","<5"
"395","2339","0","0","82","0","17","<5","8","0","29","52","34","41","8","26","<5","10","0","144","11","0","0","0","0","<5","0","<5","<5"
"396","2340","49","232","6,108","26","1,409","48","651","<5","2,021","4,142","3,269","3,511","478","2,079","231","1,154","10","10,868","540","16","<5","25","0","13","11","458","167"
"397","2341","0","12","331","<5","94","<5","44","0","137","139","109","135","12","101","5","39","0","598","<5","<5","0","<5","0","<5","<5","14","<5"
"398","2342","0","0","61","0","11","0","<5","0","13","35","23","24","<5","14","<5","<5","0","89","13","0","0","0","0","0","0","0","0"
"399","2343","5","30","704","<5","157","<5","87","0","205","364","296","304","38","199","17","88","<5","1,177","64","0","0","<5","0","<5","<5","30","15"
"400","2344","0","0","79","0","13","0","8","0","11","33","15","24","5","14","0","<5","0","103","16","0","0","0","0","0","0","0","5"
"401","2345","0","<5","98","0","19","0","11","0","24","55","34","35","8","24","<5","11","0","157","<5","0","0","0","0","0","0","<5","<5"
"402","2346","<5","16","631","<5","156","<5","84","0","225","263","213","233","29","163","13","58","<5","1,085","31","<5","0","5","0","<5","<5","25","9"
"403","2347","0","<5","477","<5","80","<5","46","0","119","145","104","145","18","90","15","25","<5","719","27","0","0","<5","0","<5","<5","6","7"
"404","2350","57","100","2,632","60","557","18","262","<5","1,028","1,712","1,326","2,006","677","969","121","353","<5","4,685","455","<5","<5","7","0","<5","<5","201","620"
"405","2351","7","<5","0","5","0","0","0","0","5","<5","<5","188","182","8","0","<5","0","7","0","0","0","0","0","0","0","<5","213"
"406","2352","0","8","436","<5","75","<5","24","<5","99","226","179","171","23","102","12","55","<5","667","21","<5","0","<5","0","<5","<5","17","10"
"407","2353","<5","0","182","<5","29","<5","13","0","31","74","48","53","9","35","5","17","0","259","<5","0","0","0","0","0","0","5","<5"
"408","2354","0","7","461","<5","78","<5","38","0","148","274","183","226","34","102","21","41","<5","737","104","0","0","<5","0","<5","<5","15","12"
"409","2355","<5","<5","107","0","24","0","13","0","33","46","28","40","<5","28","<5","9","<5","179","<5","0","0","0","0","0","<5","<5","<5"
"410","2356","<5","<5","30","0","13","0","8","0","14","20","15","19","<5","14","<5","<5","0","61","<5","0","0","0","0","0","0","<5","0"
"411","2357","7","17","753","<5","157","<5","76","0","242","315","229","295","46","194","23","72","<5","1,232","53","<5","0","<5","0","0","<5","23","16"
"412","2358","8","12","638","<5","126","<5","61","0","180","319","229","288","55","156","17","42","<5","1,008","59","0","0","<5","0","<5","<5","20","14"
"413","2359","0","0","123","<5","47","<5","26","0","59","76","53","76","13","35","5","12","<5","246","7","0","0","0","0","<5","<5","8","<5"
"414","2360","8","56","2,276","11","523","25","237","0","827","1,376","1,067","1,157","145","640","97","344","<5","4,003","201","5","<5","<5","0","10","8","165","56"
"415","2361","<5","9","166","<5","62","<5","42","0","66","88","67","101","15","59","6","20","<5","323","22","<5","0","<5","0","0","<5","6","<5"
"416","2365","<5","7","474","<5","102","6","46","0","157","302","213","271","26","153","30","52","0","795","88","0","0","<5","0","<5","<5","20","12"
"417","2369","0","14","175","0","53","0","36","0","108","109","91","118","6","91","10","21","0","379","<5","<5","<5","<5","0","<5","<5","18","<5"
"418","2370","<5","15","1,361","9","290","7","139","0","551","654","506","652","87","442","54","152","<5","2,440","144","<5","0","7","0","<5","6","71","29"
"419","2371","0","<5","271","<5","71","0","55","0","138","74","54","120","22","91","8","11","<5","513","26","<5","0","0","0","0","<5","7","5"
"420","2372","0","12","1,037","6","163","<5","81","0","295","377","284","370","57","250","27","84","<5","1,630","77","<5","0","<5","0","<5","<5","37","7"
"421","2379","0","<5","20","0","5","0","<5","0","13","25","14","32","<5","11","0","<5","0","43","<5","0","0","0","0","0","0","<5","<5"
"422","2380","9","56","1,410","8","277","6","117","0","399","765","615","666","85","412","36","215","<5","2,317","118","<5","0","6","0","<5","<5","92","25"
"423","2381","0","7","132","<5","40","0","22","0","72","101","83","105","9","75","<5","29","0","284","11","0","0","0","0","<5","0","16","5"
"424","2382","<5","<5","201","<5","49","0","21","0","48","99","81","98","11","51","<5","23","0","317","13","0","0","<5","0","0","0","14","7"
"425","2386","<5","0","31","0","<5","0","<5","0","6","22","13","15","<5","9","0","<5","0","46","12","0","0","0","0","0","0","0","<5"
"426","2387","0","0","7","0","<5","0","<5","0","<5","9","6","10","0","<5","<5","0","0","14","5","0","0","0","0","0","0","0","0"
"427","2388","<5","21","297","<5","76","<5","37","0","115","234","186","205","15","142","14","64","<5","575","15","<5","0","<5","0","0","<5","21","<5"
"428","2390","<5","27","1,017","<5","229","7","96","0","316","591","453","529","64","331","23","176","<5","1,743","91","<5","0","6","0","<5","0","73","17"
"429","2395","<5","0","151","0","51","0","32","0","82","65","52","71","9","53","12","15","<5","306","8","<5","0","<5","0","<5","<5","<5","<5"
"430","2396","<5","5","193","<5","46","<5","29","0","57","71","59","64","8","48","5","21","0","324","6","0","0","<5","0","<5","0","7","6"
"431","2397","0","0","28","<5","9","<5","0","0","14","38","27","32","<5","16","5","8","0","54","<5","0","0","0","0","<5","0","<5","0"
"432","2398","0","0","10","0","5","0","0","0","<5","16","10","13","<5","5","0","<5","0","15","6","0","0","<5","0","0","0","0","<5"
"433","2399","0","0","64","0","14","<5","8","0","25","39","27","23","5","13","0","10","0","114","6","0","0","0","0","<5","0","0","0"
"434","2400","28","84","938","<5","301","9","163","<5","478","944","790","802","82","582","41","332","0","2,115","106","<5","0","<5","0","<5","<5","95","19"
"435","2401","0","<5","38","0","13","0","6","0","17","22","19","24","5","7","<5","<5","0","68","<5","0","0","0","0","<5","0","0","0"
"436","2402","<5","<5","338","<5","92","<5","49","0","136","153","123","115","10","57","7","39","0","593","27","0","<5","0","0","<5","<5","15","<5"
"437","2403","0","0","101","0","21","<5","14","0","37","70","52","65","<5","28","5","10","<5","178","18","<5","0","<5","0","0","0","<5","<5"
"438","2404","<5","6","483","0","73","<5","33","0","115","124","98","125","12","75","8","21","<5","695","16","<5","0","<5","0","<5","<5","15","<5"
"439","2405","0","<5","36","0","8","0","<5","0","13","30","18","12","0","8","<5","6","0","65","8","0","0","<5","0","0","<5","<5","0"
"440","2406","<5","7","72","0","24","<5","12","0","40","73","60","67","5","46","6","22","0","167","<5","<5","0","0","0","<5","0","9","0"
"441","2408","0","0","10","0","<5","0","<5","0","<5","32","27","17","<5","<5","<5","5","0","19","0","0","0","0","0","0","0","<5","<5"
"442","2409","<5","30","65","0","42","<5","33","0","92","138","126","180","8","133","7","51","<5","270","<5","<5","0","0","0","0","0","26","<5"
"443","2410","0","0","24","0","6","0","<5","0","15","16","14","22","6","13","<5","<5","0","50","<5","0","0","<5","0","0","0","0","<5"
"444","2411","0","0","5","0","<5","0","0","0","<5","6","5","<5","0","0","0","<5","0","10","<5","0","0","0","0","0","0","0","0"
"445","2415","0","0","37","0","8","<5","<5","0","19","24","18","17","<5","5","<5","<5","0","64","5","0","0","0","0","0","0","0","<5"
"447","2421","0","0","174","0","40","0","17","0","40","74","53","77","31","36","<5","9","<5","260","42","0","0","<5","0","0","<5","7","6"
"448","2422","<5","7","1,130","<5","204","<5","109","0","300","391","297","364","57","254","21","72","<5","1,749","149","<5","0","<5","0","<5","6","27","12"
"449","2423","<5","7","571","5","155","<5","88","0","229","224","163","197","24","165","20","39","<5","1,020","64","<5","0","<5","0","7","<5","17","8"
"450","2424","0","0","59","<5","18","0","14","0","40","45","39","56","8","39","<5","8","0","135","11","0","0","0","0","0","0","7","<5"
